channel,model,guess
1,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
2,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
3,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
4,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
5,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
6,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
7,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
8,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
9,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
10,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
11,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
12,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
13,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
14,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
15,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
16,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
17,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
18,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
19,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
20,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
21,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
22,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
23,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
24,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
25,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
26,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
27,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
28,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
29,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
30,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
31,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
32,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
33,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
34,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
35,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
36,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
37,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
38,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
39,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
40,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
41,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
42,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
43,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
44,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
45,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
46,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
47,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
48,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
49,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
50,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
51,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
52,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
53,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
54,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
55,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
56,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
57,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
58,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
59,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
60,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
61,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
62,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
63,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
64,"R0-p(R1,C1)-W1","0.01,0.005,0.1,0.001,200"
