freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
1.0000186E+006	1.5494737E+002	6.4834399E+000
7.4598238E+005	2.4198503E+002	6.6958141E+000
5.5648750E+005	3.3890820E+002	6.9378877E+000
4.1512953E+005	4.6429877E+002	1.0831974E+001
3.0967934E+005	6.4520947E+002	2.8561670E+001
2.3101619E+005	8.6994049E+002	2.9295034E+001
1.7232964E+005	1.1733960E+003	3.6802471E+001
1.2855367E+005	1.5416992E+003	5.4494423E+001
9.5902617E+004	2.0800088E+003	6.9538383E+001
7.1537258E+004	2.6889250E+003	6.7161255E+001
5.3369953E+004	3.6977917E+003	2.1711688E+002
3.9814063E+004	4.9101475E+003	1.0609893E+002
2.9700492E+004	6.6645562E+003	1.2848732E+002
2.2157064E+004	8.9209443E+003	3.3460373E+002
1.6525014E+004	1.1580342E+004	4.3110562E+002
1.2331135E+004	1.5728800E+004	4.9671625E+002
9.2288525E+003	2.0817506E+004	1.5276356E+003
6.9032866E+003	2.7270439E+004	7.3211896E+002
5.1200850E+003	3.8308223E+004	4.6056738E+003
3.8163364E+003	4.5622629E+004	3.4756270E+003
2.8472668E+003	6.4852742E+004	8.2176758E+003
2.1256799E+003	8.6036430E+004	1.2815773E+004
1.5855076E+003	1.1441662E+005	1.9922199E+004
1.1818910E+003	1.4779309E+005	3.3625324E+004
8.8141022E+002	2.0031103E+005	6.1839316E+004
6.5768494E+002	2.4090189E+005	8.9291867E+004
4.9078522E+002	2.9906428E+005	1.3950883E+005
3.6605426E+002	3.4219091E+005	1.7919030E+005
2.7299075E+002	4.4625403E+005	3.1918766E+005
2.0376114E+002	3.8521941E+005	4.1205453E+005
1.5199416E+002	3.7794791E+005	3.9851378E+005
1.1343907E+002	2.6005053E+005	5.6760438E+005
8.4593941E+001	2.2087409E+005	6.4371919E+005
6.3082302E+001	2.2510864E+005	7.8360838E+005
4.7063255E+001	1.9864992E+005	8.5779531E+005
3.5101093E+001	2.5102563E+005	7.9312356E+005
2.6181301E+001	3.0817188E+005	9.1142500E+005
1.9531252E+001	1.6805192E+005	9.1230238E+005
1.4575557E+001	3.0115303E+005	9.4927525E+005
1.0880919E+001	1.0979209E+005	8.4192469E+005
8.1042528E+000	2.0401105E+005	9.0826831E+005
6.0468264E+000	1.0922139E+005	1.1944909E+006
4.5106812E+000	2.4219614E+005	9.1995800E+005
3.3674569E+000	3.2187525E+005	9.9861069E+005
2.5136740E+000	4.2617559E+005	1.0452329E+006
1.8744003E+000	3.4607472E+005	9.7787256E+005
1.3970852E+000	5.5502788E+005	1.0758290E+006
1.0433360E+000	5.7853119E+005	1.3351328E+006
7.7705413E-001	6.8836275E+005	1.2850858E+006
5.7999259E-001	9.7773569E+005	1.2716033E+006
4.3258584E-001	1.0362325E+006	1.5419880E+006
3.2293734E-001	1.3430280E+006	1.5340496E+006
2.4074021E-001	1.5585021E+006	1.9571841E+006
1.7979608E-001	1.6430904E+006	2.0228273E+006
1.3415243E-001	1.9302793E+006	2.1026353E+006
9.9904113E-002	2.8135798E+006	2.4861333E+006
1.0000186E+006	1.6392233E+002	-5.8516202E+000
7.4598238E+005	2.4305945E+002	7.7490354E+000
5.5648750E+005	3.4414130E+002	2.1442593E+001
4.1512953E+005	4.6672296E+002	3.7848667E+001
3.0967934E+005	6.4558752E+002	7.2995422E+001
2.3101619E+005	8.6818463E+002	1.2136861E+002
1.7232964E+005	1.1337855E+003	1.8530251E+002
1.2855367E+005	1.5129268E+003	2.9595370E+002
9.5902617E+004	2.0039128E+003	5.1738287E+002
7.1537258E+004	2.4672844E+003	6.9487671E+002
5.3369953E+004	3.1726016E+003	1.3394443E+003
3.9814063E+004	3.7706482E+003	1.9547538E+003
2.9700492E+004	4.2361553E+003	2.9166995E+003
2.2157064E+004	4.6336616E+003	4.1138042E+003
1.6525014E+004	4.7958022E+003	5.2842217E+003
1.2331135E+004	4.4884160E+003	6.5088799E+003
9.2288525E+003	4.1838003E+003	7.4855264E+003
