time/s	Ewe/V	
0.000000000000000E+000	3.9657655E+000
9.999999747378752E-001	3.9656892E+000
1.999999949475750E+000	3.9655554E+000
2.999999924213625E+000	3.9656701E+000
3.999999898951501E+000	3.9658036E+000
4.999999873689376E+000	3.9657083E+000
5.999999848427251E+000	3.9658227E+000
6.999999823165126E+000	3.9658036E+000
7.999999797903001E+000	3.9655936E+000
8.999999772640876E+000	3.9658608E+000
9.999999747378752E+000	3.9658227E+000
1.099999972211663E+001	3.9658036E+000
1.199999969685450E+001	3.9657273E+000
1.299999967159238E+001	3.9656892E+000
1.399999964633025E+001	3.9658036E+000
1.499999962106813E+001	3.9657273E+000
1.599999959580600E+001	3.9657464E+000
1.699999957054388E+001	3.9658227E+000
1.799999954528175E+001	3.9657464E+000
1.899999952001963E+001	3.9656701E+000
1.999999949475750E+001	3.9658036E+000
2.099999946949538E+001	3.9657655E+000
2.199999944423325E+001	3.9658990E+000
2.299999941897113E+001	3.9658227E+000
2.399999939370900E+001	3.9658227E+000
2.499999936844688E+001	3.9657845E+000
2.599999934318475E+001	3.9656317E+000
2.699999931792263E+001	3.9658418E+000
2.799999929266050E+001	3.9658418E+000
2.899999926739838E+001	3.9657845E+000
2.999999924213625E+001	3.9657845E+000
3.099999921687413E+001	3.9658608E+000
3.199999919161201E+001	3.9758444E+000
3.299999916634988E+001	3.9758635E+000
3.399999914108776E+001	3.9757488E+000
3.499999911582563E+001	3.9758062E+000
3.599999909056351E+001	3.9759207E+000
3.699999906530138E+001	3.9759779E+000
3.799999904003926E+001	3.9758635E+000
3.899999901477713E+001	3.9760542E+000
3.999999898951501E+001	3.9759016E+000
4.099999896425288E+001	3.9757297E+000
4.199999893899076E+001	3.9644675E+000
4.299999891372863E+001	3.9642956E+000
4.399999888846651E+001	3.9645247E+000
4.499999886320438E+001	3.9644291E+000
4.599999883794226E+001	3.9645438E+000
4.699999881268013E+001	3.9644482E+000
4.799999878741801E+001	3.9644482E+000
4.899999876215588E+001	3.9645057E+000
4.999999873689376E+001	3.9642384E+000
5.099999871163163E+001	3.9644482E+000
5.199999868636951E+001	3.9772952E+000
5.299999866110738E+001	3.9775431E+000
5.399999863584526E+001	3.9774096E+000
5.499999861058313E+001	3.9773333E+000
5.599999858532101E+001	3.9773715E+000
5.699999856005888E+001	3.9773905E+000
5.799999853479676E+001	3.9773524E+000
5.899999850953463E+001	3.9775622E+000
5.999999848427251E+001	3.9775050E+000
6.099999845901039E+001	3.9775622E+000
6.199999843374826E+001	3.9478793E+000
6.299999840848614E+001	3.9653072E+000
6.399999838322401E+001	3.9650209E+000
6.499999835796189E+001	3.9653454E+000
6.599999833269976E+001	3.9652119E+000
6.699999830743764E+001	3.9649446E+000
6.799999828217551E+001	3.9650400E+000
6.899999825691339E+001	3.9652119E+000
6.999999823165126E+001	3.9651356E+000
7.099999820638914E+001	3.9651737E+000
7.199999818112701E+001	3.9651928E+000
7.299999815586489E+001	3.9693542E+000
7.399999813060276E+001	3.9694495E+000
7.499999810534064E+001	3.9692397E+000
7.599999808007851E+001	3.9694304E+000
7.699999805481639E+001	3.9693923E+000
7.799999802955426E+001	3.9694686E+000
7.899999800429214E+001	3.9694877E+000
7.999999797903001E+001	3.9694114E+000
8.099999795376789E+001	3.9694114E+000
8.199999792850576E+001	3.9694495E+000
8.299999790324364E+001	3.9723129E+000
8.399999787798151E+001	3.9721410E+000
8.499999785271939E+001	3.9723701E+000
8.599999782745726E+001	3.9723511E+000
8.699999780219514E+001	3.9721982E+000
8.799999777693301E+001	3.9721601E+000
8.899999775167089E+001	3.9722366E+000
8.999999772640876E+001	3.9721982E+000
9.099999770114664E+001	3.9721982E+000
9.199999767588452E+001	3.9721601E+000
9.299999765062239E+001	3.9667699E+000
9.399999762536027E+001	3.9668081E+000
9.499999760009814E+001	3.9668465E+000
9.599999757483602E+001	3.9667890E+000
9.699999754957389E+001	3.9668081E+000
9.799999752431177E+001	3.9669228E+000
9.899999749904964E+001	3.9667890E+000
9.999999747378752E+001	3.9668655E+000
1.009999974485254E+002	3.9669037E+000
1.019999974232633E+002	3.9666936E+000
1.029999973980011E+002	3.9650903E+000
1.039999973727390E+002	3.9649565E+000
1.049999973474769E+002	3.9651284E+000
1.059999973222148E+002	3.9649947E+000
1.069999972969526E+002	3.9651475E+000
1.079999972716905E+002	3.9649947E+000
1.089999972464284E+002	3.9650137E+000
1.099999972211663E+002	3.9649374E+000
1.109999971959041E+002	3.9649184E+000
1.119999971706420E+002	3.9650137E+000
1.129999971453799E+002	3.6699591E+000
1.139999971201178E+002	3.9682398E+000
1.149999970948556E+002	3.9683545E+000
1.159999970695935E+002	3.9682970E+000
1.169999970443314E+002	3.9681444E+000
1.179999970190693E+002	3.9682779E+000
1.189999969938071E+002	3.9681826E+000
1.199999969685450E+002	3.9683161E+000
1.209999969432829E+002	3.9681063E+000
1.219999969180208E+002	3.9681826E+000
1.229999968927586E+002	3.9683545E+000
1.239999968674965E+002	3.9689462E+000
1.249999968422344E+002	3.9690797E+000
1.259999968169723E+002	3.9691370E+000
1.269999967917101E+002	3.9690034E+000
1.279999967664480E+002	3.9691179E+000
1.289999967411859E+002	3.9690988E+000
1.299999967159238E+002	3.9690988E+000
1.309999966906616E+002	3.9690607E+000
1.319999966653995E+002	3.9690225E+000
1.329999966401374E+002	3.9691560E+000
1.339999966148753E+002	3.9630668E+000
1.349999965896131E+002	3.9630859E+000
1.359999965643510E+002	3.9631431E+000
1.369999965390889E+002	3.9631240E+000
1.379999965138268E+002	3.9631050E+000
1.389999964885646E+002	3.9630668E+000
1.399999964633025E+002	3.9631622E+000
1.409999964380404E+002	3.9631240E+000
1.419999964127783E+002	3.9631050E+000
1.429999963875161E+002	3.9630096E+000
1.439999963622540E+002	3.9655292E+000
1.449999963369919E+002	3.9654720E+000
1.459999963117298E+002	3.9654148E+000
1.469999962864676E+002	3.9653382E+000
1.479999962612055E+002	3.9654338E+000
1.489999962359434E+002	3.9654148E+000
1.499999962106813E+002	3.9654720E+000
1.509999961854192E+002	3.9653575E+000
1.519999961601570E+002	3.9654338E+000
1.529999961348949E+002	3.9655101E+000
1.539999961096328E+002	3.8821685E+000
1.549999960843707E+002	3.9650903E+000
1.559999960591085E+002	3.9648993E+000
1.569999960338464E+002	3.9650519E+000
1.579999960085843E+002	3.9650712E+000
1.589999959833222E+002	3.9649756E+000
1.599999959580600E+002	3.9650328E+000
1.609999959327979E+002	3.9650519E+000
1.619999959075358E+002	3.9649565E+000
1.629999958822737E+002	3.9650903E+000
1.639999958570115E+002	3.9649184E+000
1.649999958317494E+002	3.9718857E+000
1.659999958064873E+002	3.9719622E+000
1.669999957812252E+002	3.9719241E+000
1.679999957559630E+002	3.9718285E+000
1.689999957307009E+002	3.9718285E+000
1.699999957054388E+002	3.9719241E+000
1.709999956801767E+002	3.9720004E+000
1.719999956549145E+002	3.9719622E+000
1.729999956296524E+002	3.9719431E+000
1.739999956043903E+002	3.9718475E+000
1.749999955791282E+002	3.9667890E+000
1.759999955538660E+002	3.9668272E+000
1.769999955286039E+002	3.9667127E+000
1.779999955033418E+002	3.9668655E+000
1.789999954780797E+002	3.9668272E+000
1.799999954528175E+002	3.9669228E+000
1.809999954275554E+002	3.9668465E+000
1.819999954022933E+002	3.9667890E+000
1.829999953770312E+002	3.9669609E+000
1.839999953517690E+002	3.9668655E+000
1.849999953265069E+002	3.9641547E+000
1.859999953012448E+002	3.9641931E+000
1.869999952759827E+002	3.9642122E+000
1.879999952507205E+002	3.9641931E+000
1.889999952254584E+002	3.9641740E+000
1.899999952001963E+002	3.9641547E+000
1.909999951749342E+002	3.9640784E+000
1.919999951496720E+002	3.9643075E+000
1.929999951244099E+002	3.9641166E+000
1.939999950991478E+002	3.9641931E+000
1.949999950738857E+002	3.9696143E+000
1.959999950486235E+002	3.9697287E+000
1.969999950233614E+002	3.9696333E+000
1.979999949980993E+002	3.9697287E+000
1.989999949728372E+002	3.9696524E+000
1.999999949475750E+002	3.9695380E+000
2.009999949223129E+002	3.9695570E+000
2.019999948970508E+002	3.9696143E+000
2.029999948717887E+002	3.9696333E+000
2.039999948465265E+002	3.9696333E+000
2.049999948212644E+002	3.9365525E+000
2.059999947960023E+002	3.9646130E+000
2.069999947707402E+002	3.9646320E+000
2.079999947454780E+002	3.9647465E+000
2.089999947202159E+002	3.9646130E+000
2.099999946949538E+002	3.9645557E+000
2.109999946696917E+002	3.9646320E+000
2.119999946444295E+002	3.9647849E+000
2.129999946191674E+002	3.9646130E+000
2.139999945939053E+002	3.9647083E+000
2.149999945686432E+002	3.9645939E+000
2.159999945433810E+002	3.9648612E+000
2.169999945181189E+002	3.9648421E+000
2.179999944928568E+002	3.9650137E+000
2.189999944675947E+002	3.9650519E+000
2.199999944423325E+002	3.9649947E+000
2.209999944170704E+002	3.9649756E+000
2.219999943918083E+002	3.9649565E+000
2.229999943665462E+002	3.9649947E+000
2.239999943412840E+002	3.9648612E+000
2.249999943160219E+002	3.9650137E+000
2.259999942907598E+002	3.9629714E+000
2.269999942654977E+002	3.9630668E+000
2.279999942402355E+002	3.9629905E+000
2.289999942149734E+002	3.9630477E+000
2.299999941897113E+002	3.9630287E+000
2.309999941644492E+002	3.9628568E+000
2.319999941391870E+002	3.9631240E+000
2.329999941139249E+002	3.9630477E+000
2.339999940886628E+002	3.9628186E+000
2.349999940634007E+002	3.9629521E+000
2.359999940381385E+002	3.9687743E+000
2.369999940128764E+002	3.9687171E+000
2.379999939876143E+002	3.9687362E+000
2.389999939623522E+002	3.9687552E+000
2.399999939370900E+002	3.9687743E+000
2.409999939118279E+002	3.9689078E+000
2.419999938865658E+002	3.9688315E+000
2.429999938613037E+002	3.9688125E+000
2.439999938360415E+002	3.9688125E+000
2.449999938107794E+002	3.9688506E+000
2.459999937855173E+002	3.9719241E+000
2.469999937602552E+002	3.9719813E+000
2.479999937349930E+002	3.9719048E+000
2.489999937097309E+002	3.9719813E+000
2.499999936844688E+002	3.9719813E+000
2.509999936592067E+002	3.9718666E+000
2.519999936339445E+002	3.9720004E+000
2.529999936086824E+002	3.9718475E+000
2.539999935834203E+002	3.9721148E+000
2.549999935581582E+002	3.9719048E+000
2.559999935328960E+002	3.9346054E+000
2.569999935076339E+002	3.9728019E+000
2.579999934823718E+002	3.9726684E+000
2.589999934571097E+002	3.9726112E+000
2.599999934318475E+002	3.9727829E+000
2.609999934065854E+002	3.9728019E+000
2.619999933813233E+002	3.9728019E+000
2.629999933560612E+002	3.9728403E+000
2.639999933307990E+002	3.9727447E+000
2.649999933055369E+002	3.9728594E+000
2.659999932802748E+002	3.9727447E+000
2.669999932550127E+002	3.9698815E+000
2.679999932297505E+002	3.9698050E+000
2.689999932044884E+002	3.9698815E+000
2.699999931792263E+002	3.9696906E+000
2.709999931539642E+002	3.9698815E+000
2.719999931287020E+002	3.9698625E+000
2.729999931034399E+002	3.9697096E+000
2.739999930781778E+002	3.9696906E+000
2.749999930529157E+002	3.9696906E+000
2.759999930276535E+002	3.9697096E+000
2.769999930023914E+002	3.9645176E+000
2.779999929771293E+002	3.9645367E+000
2.789999929518672E+002	3.9646130E+000
2.799999929266050E+002	3.9644029E+000
2.809999929013429E+002	3.9644220E+000
2.819999928760808E+002	3.9646320E+000
2.829999928508187E+002	3.9646702E+000
2.839999928255565E+002	3.9643838E+000
2.849999928002944E+002	3.9644029E+000
2.859999927750323E+002	3.9645367E+000
2.869999927497702E+002	3.9719813E+000
2.879999927245080E+002	3.9720004E+000
2.889999926992459E+002	3.9720004E+000
2.899999926739838E+002	3.9721339E+000
2.909999926487217E+002	3.9719622E+000
2.919999926234595E+002	3.9719813E+000
2.929999925981974E+002	3.9720957E+000
2.939999925729353E+002	3.9720194E+000
2.949999925476732E+002	3.9720385E+000
2.959999925224110E+002	3.9720194E+000
2.969999924971489E+002	3.9612916E+000
2.979999924718868E+002	3.9610052E+000
2.989999924466247E+002	3.9611387E+000
2.999999924213625E+002	3.9610624E+000
3.009999923961004E+002	3.9611197E+000
3.019999923708383E+002	3.9611197E+000
3.029999923455762E+002	3.9610815E+000
3.039999923203141E+002	3.9612153E+000
3.049999922950519E+002	3.9613297E+000
3.059999922697898E+002	3.9611387E+000
3.069999922445277E+002	3.7941122E+000
3.079999922192656E+002	3.9705687E+000
3.089999921940034E+002	3.9708169E+000
3.099999921687413E+002	3.9706831E+000
3.109999921434792E+002	3.9707787E+000
3.119999921182171E+002	3.9707596E+000
