Medusa2012 File
Sputtering Run: KP0195A
Description: KP0195A
Date Started: 2019-04-24 10:32:05 PM
Protocol File: C:\Users\McCalla Lab\Desktop\Data-combi\MedusaData\Protocols\3 Cycle then Storage (3.5 cycles) LCO.pro

Resistances (Ohm),,,,,,99.90577599,99.81228974,99.96799737,99.94040398,99.74666204,99.8581932,99.77699138,99.83715432,99.81357092,99.81762452,99.72867415,99.8198487,99.72866298,99.80557173,99.77544129,99.86824637,99.87068696,99.801485,99.87767235,99.81017692,99.88521119,99.79586158,99.89602228,99.82648328,99.82865794,99.75201657,99.91385934,99.77606513,99.79554465,99.73115048,99.83418636,99.84590655,99.75689064,99.81789229,99.7878963,99.80321758,99.923787,99.87550514,99.92967633,100.0630088,99.78523152,99.79934684,99.86422817,99.91586195,99.80969274,99.83455172,99.86858381,99.81835412,99.8003312,99.78327214,99.84727786,99.78748736,99.80812889,99.83565413,99.84023695,99.95594759,99.78880654,99.83567685,99.82965643,99.81412846,99.78926538,99.81807963,99.85656604,99.97122752
Cycle,Time(h),VSet (V),V1 (V),V2 (V),Vavg (V),Ch.1-I (uA),Ch.2-I (uA),Ch.3-I (uA),Ch.4-I (uA),Ch.5-I (uA),Ch.6-I (uA),Ch.7-I (uA),Ch.8-I (uA),Ch.9-I (uA),Ch.10-I (uA),Ch.11-I (uA),Ch.12-I (uA),Ch.13-I (uA),Ch.14-I (uA),Ch.15-I (uA),Ch.16-I (uA),Ch.17-I (uA),Ch.18-I (uA),Ch.19-I (uA),Ch.20-I (uA),Ch.21-I (uA),Ch.22-I (uA),Ch.23-I (uA),Ch.24-I (uA),Ch.25-I (uA),Ch.26-I (uA),Ch.27-I (uA),Ch.28-I (uA),Ch.29-I (uA),Ch.30-I (uA),Ch.31-I (uA),Ch.32-I (uA),Ch.33-I (uA),Ch.34-I (uA),Ch.35-I (uA),Ch.36-I (uA),Ch.37-I (uA),Ch.38-I (uA),Ch.39-I (uA),Ch.40-I (uA),Ch.41-I (uA),Ch.42-I (uA),Ch.43-I (uA),Ch.44-I (uA),Ch.45-I (uA),Ch.46-I (uA),Ch.47-I (uA),Ch.48-I (uA),Ch.49-I (uA),Ch.50-I (uA),Ch.51-I (uA),Ch.52-I (uA),Ch.53-I (uA),Ch.54-I (uA),Ch.55-I (uA),Ch.56-I (uA),Ch.57-I (uA),Ch.58-I (uA),Ch.59-I (uA),Ch.60-I (uA),Ch.61-I (uA),Ch.62-I (uA),Ch.63-I (uA),Ch.64-I (uA)
1,0.00429638888888889,3,2.99918699,2.99923682,2.999211905,1.7018018459415,1.06731534040049,0.044138970531425,-24.0290456548543,-4.70730544157666,-31.0710305341275,-4.09119817459062,-3.14669911356905,-8.98314025573388,0.964346970416162,-17.3978655064673,-1.52197402599349,-24.0905577013683,-3.62456716323046,-47.39672607666,1.46351445341795,1.39077367171441,-17.1076932372299,-2.06475523655913,-34.8718125486316,-4.88565727784992,-43.6902283418314,-5.00281321111277,-23.601821706886,-0.931544492523306,-0.0584034097788064,-21.3380541406679,-1.90793983258377,-23.4537885254179,-3.92254410098729,-51.5370742988444,0.245222121226762,8.1327523521938,-5.75249967542668,1.1797214728937,-21.9955436631124,-13.592399775641,-11.2102346659531,-3.20125843241586,-8.13772904458176,0.867081699185699,2.08793587932063,-9.09443663304488,-0.418915135025766,-13.4973046506545,-2.04503814042868,-21.7150957514915,3.77295718127395,1.82677634240156,-0.566184123735031,0.38991236550873,-29.9995220763518,-2.06566143752903,-29.7042938802048,-1.51582207357732,-0.827997874018254,-4.46842499134673,2.37452238998868,-20.0190309319689,-0.751172151245571,-31.4414048249806,-2.17852280675057,-2.96206741058487,6.00506513616529
1,0.0251288888888889,3.0025,3.00034189,3.00099373,3.00066781,1.39552635088841,-0.28510392932701,-0.475058623253483,-10.9624874061871,-1.94082871587589,-11.5842720855478,-1.54157368219495,-1.6795809850763,-4.63676858501477,0.60681381661075,-8.08296285767878,-0.878257012425225,-10.4418192211083,-1.40504647755901,-18.4013615601419,1.23632456248966,0.955555716145441,-7.47513938294606,-1.07081608415156,-13.4296225231057,-1.61999208964179,-17.6903799621467,-1.75549292151455,-8.22009521960594,1.18619039305498,0.0525121230639398,-8.47810100215873,-0.86513636198754,-10.2792925635884,-1.35614493915943,-18.1171703396051,0.0316241448358105,7.04686847685412,-1.28517103554241,1.18170466932671,-9.32955088600862,-4.96736198559008,-3.60996667295554,-1.01229503301845,-3.02147749328921,2.63816532757392,2.33134887518869,-4.53474522657996,-0.0973377590924141,-4.92516357384791,-0.643854410047127,-9.4574662217792,3.98917783718712,1.97891625834604,0.895285538187804,0.640913696112256,-12.5233654345017,-0.872953990511383,-11.8564243437386,-0.470712456577358,1.50907295300446,-0.337877667536638,2.30675276881242,-8.70773044891265,-0.295241441814619,-11.3118097993959,-0.8316286519206,-1.05802480687829,5.53467126218198
1,0.0459558333333333,3.00375,3.00277829,3.00279832,3.002788305,1.3578733026765,-0.0620001919214563,-0.270349090819243,-6.99664671297439,-1.14067731864925,-6.86010214132334,-0.781581805799284,-0.949226666619999,-2.56040309593604,0.680992410176824,-5.3992324232659,-0.50568656291702,-7.02062907571931,-0.761739591108898,-11.5692434438342,1.36167169188274,0.987824260581215,-4.81594767853404,-0.681517781686669,-8.41857406658527,-0.897069007838977,-11.2409906807681,-0.98394019658257,-4.89124695127696,1.6602260254727,0.132898815039965,-5.21166463231126,-0.503218159932261,-6.98942193708444,-0.724367248871629,-10.9707225544018,0.383901091436382,6.51552555247125,-0.203840307916804,1.13051581587455,-6.00980031048815,-2.97290885302416,-3.25862001442489,-0.445189787797244,-1.58167203742928,2.94827695961235,2.27403829970797,-3.16690271176608,0.0964332604649066,-2.96522203280354,-0.273808629668278,-6.25460472322682,3.8800920673806,1.93366097767018,1.14517943287804,0.695091726960377,-8.12458885827186,-0.538060117920722,-7.62921154408627,-0.160026943926439,1.76368937767578,0.66212728051332,2.23154304181992,-5.76667549090152,-0.121477042249175,-6.85610214079321,-0.455092752419044,-0.565212595808587,4.93123169765396
1,0.0667902777777778,3.00625,3.00525951,3.00528049,3.00527,1.32794950727653,0.0496954692946212,-0.160912678289056,-5.06138202224225,-0.756847752656887,-4.64642578772395,-0.430384557662737,-0.555140707660346,-1.44401969262799,0.701358724340037,-4.04248357291532,-0.333500750938325,-5.30871373565065,-0.47811264314071,-8.2196577774715,1.41691413580791,1.04010501140945,-3.5081241025622,-0.469663883791941,-6.01487893845925,-0.57446268187642,-8.06913772024974,-0.634402603362597,-3.3417187808201,1.83007436712016,0.164356784591869,-3.64169903358274,-0.334753264287202,-5.33583528069858,-0.437386304981489,-7.65294454591877,0.578926320540279,6.08074464940039,0.336177114444659,1.09072556928931,-4.34107779794488,-2.03389487229903,-2.88057781131339,-0.18671790988678,-0.852144624897588,3.02935886799454,2.20902100044245,-2.44230761574413,0.189575145830987,-2.04035625608519,-0.114996403571771,-4.65111334595183,3.75076508023673,1.87086996360589,1.27478122607095,0.70872426286094,-5.93306161587272,-0.380871226850629,-5.5484868489838,-0.00602776511138879,1.88416537025398,1.18363469907474,2.19507393463422,-4.26802509631756,-0.0318299705564548,-4.75069238354182,-0.256885916810339,-0.319719165860473,4.57722697171499
1,0.0879847222222222,3.00875,3.00650454,3.00773311,3.007118825,1.31662894058464,0.0753464175562956,-0.112730137608837,-4.17875004871478,-0.572364324102449,-3.79970467961561,-0.285901726494812,-0.371206705083098,-1.08936097564477,0.688704364891252,-3.39217256103469,-0.245537773490935,-4.41732146843627,-0.356798108389535,-6.6048650998655,1.43485496349965,1.01530099658383,-2.88942991178939,-0.361042552870426,-4.90606083578516,-0.435115403794142,-6.45216333428643,-0.454068752335911,-2.60999856390013,1.88925596008068,0.174109690181675,-2.95849997140146,-0.249196172124091,-4.43105944810333,-0.29755060437161,-6.04617203793677,0.674535011270324,5.75805083052256,0.504856864274308,1.05856835264298,-3.48687262232854,-1.60352358342864,-5.93956302066719,-0.0572093770335141,-0.530956057959352,3.04275298433461,2.10308571795058,-2.0749208279792,0.21551300343859,-1.60311774946358,-0.0411588626302894,-3.78526982738837,3.63010668924061,1.78249361360837,1.32709406256198,0.699812812102637,-4.78799786065682,-0.296501997674109,-4.48538701831812,0.0646256442002565,1.84363760679746,1.45118103944807,2.19409035839075,-3.47264147145578,0.0116215990451178,-3.760395986192,-0.168511909489237,-0.224897648603339,4.29779054092383
1,0.1091775,3.01,3.00903583,3.00905776,3.009046795,1.31931412066899,0.130784415766875,-0.058768340714636,-3.40051024876796,-0.420487832296388,-2.99792830619731,-0.149489614726846,-0.197372097935013,-0.624427591614313,0.691897785908159,-2.81194979668744,-0.170556136096407,-3.68187418770106,-0.255006182108266,-5.30370225536689,1.46084429538782,1.01207991130053,-2.35386644797921,-0.273171150849312,-3.97458915755622,-0.320186037742511,-5.17256648549694,-0.320437810929823,-2.03094605097262,1.96792671617478,0.190828863962284,-2.33624501687675,-0.180436207586893,-3.70477506081731,-0.180216890244381,-4.77318137578299,0.742180945223738,5.48724197885645,0.738662693716151,1.04435263057049,-2.78429177673813,-1.23387336190531,-4.08924860432501,0.0455192969401665,-0.213185474390812,3.09801091094367,2.02946566699193,-1.7382596369192,0.248405632655406,-1.23406890271527,0.0358314257776486,-3.0926034115753,3.51655731147413,1.73642631157921,1.40267433607134,0.706403253165264,-3.8555633695034,-0.232842571626733,-3.6177673912938,0.126244142492492,1.81667179770868,1.71847997732352,2.1971993872449,-2.81541128208809,0.0496809770972176,-2.94718336566634,-0.0793324521905551,-0.121397627424361,4.03361619141195
1,0.130014444444444,3.0125,3.01149344,3.01151705,3.011505245,1.31814303722721,0.185389749580952,-0.0114856996259542,-2.79530765210741,-0.309976269557782,-2.34766175400818,-0.0514520804746278,-0.0573033476261045,-0.216353330523645,0.707828882321713,-2.3606162821929,-0.117879840064314,-3.10365535595392,-0.17560492862476,-4.29760092720308,1.50420588585729,1.01977611349355,-1.92734114126659,-0.205396026131961,-3.2605857743429,-0.239306712327331,-4.20611592860001,-0.22108515129958,-1.58689204302299,2.0561024783421,0.210048018280379,-1.84602141503065,-0.120881334459175,-3.14416096530618,-0.101821959850312,-3.82016316159218,0.819067541432423,5.38707512385633,0.948131309215005,1.03319806131638,-2.24665593391583,-0.948784521147102,-3.25523334819951,0.121481572300015,0.0490671316891283,3.26380071518623,1.98035817124993,-1.47106639376333,0.271657238102824,-0.955138621139091,0.0901653419073418,-2.56061358080852,3.46205568150877,1.74022423484703,1.44558109697604,0.714510137172006,-3.15498365906545,-0.172228411565005,-2.95782854906206,0.178636942828289,1.85485654901188,1.94337253569883,2.19716134473225,-2.31789557607316,0.0791946407984495,-2.34779505699173,-0.0183828433366145,-0.0341906831507942,3.8720970083373
1,0.15121,3.015,3.01272917,3.0140233,3.013376235,1.30754770387926,0.190864087474846,0.00905475177870916,-2.53595437787823,-0.251059684483052,-2.12511367569987,-0.00432466952582911,0.0227009638389301,-0.121382281871376,0.700035360849519,-2.13929568219373,-0.0944834403460682,-2.78964728581384,-0.147017406399862,-3.7875943931092,1.51554599686519,1.01417008416661,-1.74339906866115,-0.163200371178854,-2.93479345532854,-0.19727797503994,-3.70212576103499,-0.168680929584657,-1.3785904248875,2.07421790769193,0.213107961432363,-1.66420903064278,-0.097228863428922,-2.82136583338944,-0.0571732068922986,-3.37131420880546,0.832196792748736,5.22380500892485,0.994995092778071,1.01264922647738,-1.96327177370748,-0.822651634490194,-2.81429105771229,0.158296950224896,0.153020436659106,3.36026472948349,1.89946648953439,-1.33388914570329,0.285581093363124,-0.823209743907684,0.114773226328862,-2.26071558629024,3.38321571195227,1.70502942178613,2.55169076478834,2.98810950478125,-1.33165145766829,1.17234881869149,-1.30387629684377,1.03952257296801,2.5258126413406,2.79180090091896,2.2256210105516,-1.34378252712975,0.553406193614527,-0.977469797262877,0.664431481209012,0.185171255464494,3.85760087744094
