MMAView Text Export																																																																																																								
Begin Experiment:             Cell On; Scan Base; 2 Segments; x1; T=0																																																																																																								
  Exp Name																																																																																																								
  Data File:                  C:\SAI\MMAData\test_potential_sweep.mmb																																																																																																								
  Data Append:                0																																																																																																								
  Comment Lines:              0																																																																																																								
  Segment Number:             2																																																																																																								
  Segment Type:               0																																																																																																								
  Potential:                  0																																																																																																								
  Potential Type:             1																																																																																																								
  Scan Rate:                  5																																																																																																								
  Potential Time:             50																																																																																																								
  Term Type:                  0																																																																																																								
  Term IMax:                  10																																																																																																								
  Term IMin:                  -10																																																																																																								
  Segment Type:               1																																																																																																								
  Potential:                  2																																																																																																								
  Potential Type:             1																																																																																																								
  Scan Rate:                  25																																																																																																								
  Potential Time:             50																																																																																																								
  Term Type:                  0																																																																																																								
  Term IMax:                  10																																																																																																								
  Term IMin:                  -10																																																																																																								
  Scan Type:                  0																																																																																																								
  Scan Number:                1																																																																																																								
  Group Scan #0:              0																																																																																																								
  Group Scan #1:              0																																																																																																								
  Group Scan #2:              0																																																																																																								
  Group Scan #3:              0																																																																																																								
  Group Scan #4:              0																																																																																																								
  Group Scan #5:              0																																																																																																								
  Group Scan #6:              0																																																																																																								
  Group Scan #7:              0																																																																																																								
  Group Scan #8:              0																																																																																																								
  Group Scan #9:              0																																																																																																								
  Interval:                   0.1																																																																																																								
  Base E:                     0																																																																																																								
  Base E Type:                1																																																																																																								
  GroupE #0:                  0																																																																																																								
  GroupEType #0:              2																																																																																																								
  GroupE #1:                  0																																																																																																								
  GroupEType #1:              2																																																																																																								
  GroupE #2:                  0																																																																																																								
  GroupEType #2:              2																																																																																																								
  GroupE #3:                  0																																																																																																								
  GroupEType #3:              2																																																																																																								
  GroupE #4:                  0																																																																																																								
  GroupEType #4:              2																																																																																																								
  GroupE #5:                  0																																																																																																								
  GroupEType #5:              2																																																																																																								
  GroupE #6:                  0																																																																																																								
  GroupEType #6:              2																																																																																																								
  GroupE #7:                  0																																																																																																								
  GroupEType #7:              2																																																																																																								
  GroupE #8:                  0																																																																																																								
  GroupEType #8:              2																																																																																																								
  GroupE #9:                  0																																																																																																								
  GroupEType #9:              2																																																																																																								
  Temperature:                0																																																																																																								
  CellStatus:                 1																																																																																																								
  Recordable:                 1																																																																																																								
End Experiment:               Cell On; Scan Base; 2 Segments; x1; T=0																																																																																																								
Original File: C:\SAI\MMAData\test_potential_sweep.mmb																																																																																																								
"Original Date: Wednesday, November 14, 2018, 3:40:27 PM"																																																																																																								
I Array Dimensions: 10x10																																																																																																								
E Array Dimensions: 0x0																																																																																																								
Aux Array Dimensions: 0																																																																																																								
FirstPoint: 1																																																																																																								
LastPoint: 81																																																																																																								
Total Points: 81																																																																																																								
Time	Total_I	Cell_E	Base_E	Group_E	"I_(1,1)"	"I_(2,1)"	"I_(3,1)"	"I_(4,1)"	"I_(5,1)"	"I_(6,1)"	"I_(7,1)"	"I_(8,1)"	"I_(9,1)"	"I_(10,1)"	"I_(1,2)"	"I_(2,2)"	"I_(3,2)"	"I_(4,2)"	"I_(5,2)"	"I_(6,2)"	"I_(7,2)"	"I_(8,2)"	"I_(9,2)"	"I_(10,2)"	"I_(1,3)"	"I_(2,3)"	"I_(3,3)"	"I_(4,3)"	"I_(5,3)"	"I_(6,3)"	"I_(7,3)"	"I_(8,3)"	"I_(9,3)"	"I_(10,3)"	"I_(1,4)"	"I_(2,4)"	"I_(3,4)"	"I_(4,4)"	"I_(5,4)"	"I_(6,4)"	"I_(7,4)"	"I_(8,4)"	"I_(9,4)"	"I_(10,4)"	"I_(1,5)"	"I_(2,5)"	"I_(3,5)"	"I_(4,5)"	"I_(5,5)"	"I_(6,5)"	"I_(7,5)"	"I_(8,5)"	"I_(9,5)"	"I_(10,5)"	"I_(1,6)"	"I_(2,6)"	"I_(3,6)"	"I_(4,6)"	"I_(5,6)"	"I_(6,6)"	"I_(7,6)"	"I_(8,6)"	"I_(9,6)"	"I_(10,6)"	"I_(1,7)"	"I_(2,7)"	"I_(3,7)"	"I_(4,7)"	"I_(5,7)"	"I_(6,7)"	"I_(7,7)"	"I_(8,7)"	"I_(9,7)"	"I_(10,7)"	"I_(1,8)"	"I_(2,8)"	"I_(3,8)"	"I_(4,8)"	"I_(5,8)"	"I_(6,8)"	"I_(7,8)"	"I_(8,8)"	"I_(9,8)"	"I_(10,8)"	"I_(1,9)"	"I_(2,9)"	"I_(3,9)"	"I_(4,9)"	"I_(5,9)"	"I_(6,9)"	"I_(7,9)"	"I_(8,9)"	"I_(9,9)"	"I_(10,9)"	"I_(1,10)"	"I_(2,10)"	"I_(3,10)"	"I_(4,10)"	"I_(5,10)"	"I_(6,10)"	"I_(7,10)"	"I_(8,10)"	"I_(9,10)"	"I_(10,10)"
0	-6.38E-08	0.0076294	0	0	-8.24E-10	-7.32E-10	-8.54E-10	-7.02E-10	-7.93E-10	-6.71E-10	-8.54E-10	-6.71E-10	-6.71E-10	-6.41E-10	-6.41E-10	-6.71E-10	-5.80E-10	-7.02E-10	-6.71E-10	-6.41E-10	-6.41E-10	-6.41E-10	-6.71E-10	-6.41E-10	-1.53E-10	-3.36E-10	-3.36E-10	-5.49E-10	-4.88E-10	-3.97E-10	-5.49E-10	-5.19E-10	-8.54E-10	-8.24E-10	-3.36E-10	-2.75E-10	-3.36E-10	-3.05E-10	-7.63E-10	-6.41E-10	-5.80E-10	-3.66E-10	-6.10E-10	-5.80E-10	-1.25E-09	5.80E-10	-3.05E-10	-1.71E-09	2.14E-10	-1.19E-09	-1.34E-09	6.10E-11	-6.41E-10	-9.77E-10	-4.58E-10	2.75E-10	-5.80E-10	-1.13E-09	-1.43E-09	-1.07E-09	-1.59E-09	-1.56E-09	-9.77E-10	-1.95E-09	-5.80E-10	-2.44E-10	-3.05E-10	-5.80E-10	-3.97E-10	-3.66E-10	-5.49E-10	-5.19E-10	-6.10E-10	-3.66E-10	-5.19E-10	-3.05E-10	-6.71E-10	-3.36E-10	-5.49E-10	-2.14E-10	-4.58E-10	-1.53E-10	-6.41E-10	-5.19E-10	-1.22E-10	-1.46E-09	-4.88E-10	-8.24E-10	6.10E-11	-9.16E-11	-8.85E-10	6.10E-11	-1.13E-09	-5.49E-10	-5.80E-10	-1.07E-09	-3.66E-10	-1.68E-09	-1.22E-10	-1.22E-09	-1.25E-09	-3.36E-10	-7.63E-10	-1.40E-09
0.142	-4.83E-08	0.0088501	0.0024414	0	-9.16E-10	-7.02E-10	-8.54E-10	-7.32E-10	-8.54E-10	-7.32E-10	-7.02E-10	-6.41E-10	-7.93E-10	-7.02E-10	-7.02E-10	-6.71E-10	-6.41E-10	-7.02E-10	-6.71E-10	-6.10E-10	-6.41E-10	-6.71E-10	-5.80E-10	-6.41E-10	-8.54E-10	-1.01E-09	-5.80E-10	-6.10E-10	-5.80E-10	-4.27E-10	-8.85E-10	-3.66E-10	-6.41E-10	-4.27E-10	-1.53E-10	-3.97E-10	-1.53E-10	-1.83E-10	-7.63E-10	-6.41E-10	-4.88E-10	-3.66E-10	-7.63E-10	-6.71E-10	-5.80E-10	6.41E-10	2.14E-10	-1.01E-09	5.19E-10	-1.22E-09	-3.66E-10	3.36E-10	-6.71E-10	-1.83E-10	6.10E-11	-4.58E-10	-6.41E-10	-1.59E-09	-7.32E-10	-4.88E-10	-1.04E-09	-1.01E-09	-1.10E-09	-3.05E-10	-2.44E-10	-3.05E-10	9.16E-11	-3.66E-10	-4.27E-10	-2.44E-10	-3.05E-10	-4.88E-10	-1.83E-10	-3.97E-10	-2.44E-10	-3.05E-10	-2.75E-10	-2.75E-10	-3.66E-10	-2.75E-10	-1.83E-10	-2.44E-10	-3.05E-10	-4.27E-10	-7.63E-10	3.97E-10	-9.77E-10	-7.93E-10	-2.75E-10	6.10E-11	2.14E-10	-9.16E-10	-2.44E-10	3.05E-10	-5.19E-10	-5.49E-10	1.22E-10	1.83E-10	-1.01E-09	-3.05E-10	-1.13E-09	-4.88E-10	1.22E-10	-1.25E-09
